title,target
加纳图书馆建设和服务特色探究,"[1]民间慈善组织对非洲基层图书馆的援助工作研究[J].周玥.图书馆建设.2012(02)
[2]英国公共图书馆法律规范体系[J].曹磊.中国图书馆学报.2011(02)
[3]Smallservicesbigimpact:PublicLibraries’’ContributiontoUrbanandRuralDevelopment:PublicLibraryInnovationProgram.UgneLipeikaite.http://creativecommons.org/licenses/by/3.0/
.2014
"
新搜商公式及其构成因素研究,"[1]高校图书馆对大学生搜商培养的再思考[J].黄瑞颜,伍昭嫦.科技情报开发与经济.2014(15)
[2]高校信息检索课教学与大学生搜商培养研究[J].王媛媛,张晓光,王华.学园.2014(13)
[3]网络数字信息资源的8种强行下载获取方式[J].于新国.科技文献信息管理.2013(03)
[4]基于行为模式的大学生搜商塑造与培养[J].龚花萍,胡春健.情报理论与实践.2013(02)
[5]研究生师生关系网络舆情之管窥——基于搜索引擎搜索结果的分析[J].徐正林.学园.2012(06)
[6]浅谈图书馆员的搜商[J].吕新.图书馆理论与实践.2008(06)
[7]熟悉搜索引擎快速检索医学网络信息[J].罗书练,郑萍,张梅英,刘娜,张军莉.医学信息学杂志.2008(09)
"
国际开放科学数据实证资源及利用研究,"[1]国外开放科学数据研究综述[J].黄永文,张建勇,黄金霞,王昉.现代图书情报技术.2013(05)
[2]UNData:AWorldofInformation.http://data.un.or.2015
[3]OECDLibrary.http://www.oecd-ilibrary.org/statistic.2015
[4]InternationalFinancialStatistics(IFS).http://elibrary-data.imf.org/DataExplorer.asp.2015
[5]OpenDataforAfrica.http://opendataforafrica.or.2015
"
大数据时代  反思“知识”——读《知识的边界》有感,"[1]知识的边界[M].山西人民出版社,温伯格,2014
"
网络环境下主题词表的编制研究,"[1]用代传导中同义术语识别研究[J].王刘安,常春.情报理论与实践.2014(09)
[2]面向网络应用的专业主题词表编制研究[J].李贺,侯昊辰.图书馆学研究.2013(14)
[3]《汉语主题词表》与英文超级科技词表概念映射构架设计[J].常春,曾建勋,吴雯娜,宋培彦,刘伟,邓盼盼.数字图书馆论坛.2012
(12)
[4]从《汉语主题词表》获取本体概念的研究[J].肖京文.科技情报开发与经济.2012(17)
[5]基于DDC的《英文超级科技词表》范畴体系构建研究——以工程技术为例[J].吴雯娜,王星.图书情报工作.2011(22)
[6]网络环境下新型《汉语主题词表》的构建[J].曾建勋,常春,吴雯娜,宋培彦.中国图书馆学报.2011(04)
[7]《汉语主题词表》简单知识组织系统表示的自动转换设计[J].贾君枝,杨洁,卫荣娟.情报理论与实践.2011(05)
[8]我国主题词表的发展研究[J].高文飞,赵新力.图书情报工作.2008(09)
"
高校图书馆的文献典藏机制探讨——以河海大学图书馆为例,"[1]全媒体时代高校图书馆信息服务研究[J].高冕.科技情报开发与经济.2015(09)
[2]RFID技术支撑下的图书馆三线典藏制[J].杨国栋.图书馆杂志.2011(10)
[3]跨校区多分馆文献典藏分配模式分析[J].张海霞,刘华.图书馆建设.2009(05)
[4]多校区办馆的资源有效布局及动态管理模式探讨[J].邱学军,赵玉宏,田忠政.高校图书馆工作.2008(01)
[5]文献老化理论研究[J].徐恩元,徐建华.四川图书馆学报.2006(06)
[6]在不同校区图书馆之间建立动态典藏机制的探讨[J].王永进,刘金梅,辛志华.大学图书馆学报.2006(02)
[7]图书馆典藏功能阐释[J].钱华.图书馆学刊.1999(04)
"
美国图书馆组织气候改进方案的决策过程案例,"[1]从ClimateQUALTM的指标设计看中美图书馆组织文化及其背景的差异[J].周丽,包平.图书馆理论与实践.2015(01)
[2]模糊法优化ClimateQUALTM的实证研究[J].韩靖.情报探索.2014(06)
[3]图书馆组织气候评价ClimateQUALTM的本土化研究[J].江新.图书情报工作.2013(17)
[4]模糊法优化ClimateQUALTM组织氛围评价法研究[J].徐佳宁.图书情报工作.2012(15)
[5]基于ClimateQUALTM的高校图书馆评价实证研究[J].包平,周丽.大学图书馆学报.2012(01)
[6]图书馆组织气候测评应用评析——以ClimateQUALTM应用为例[J].郑德俊,张正慧.图书情报知识.2011(04)
[7]图书馆组织气候评价初论[J].郑德俊.中国图书馆学报.2011(02)
[8]ClimateQUALTM图书馆服务质量评价新体系[J].包平,周丽.大学图书馆学报.2010(05)
[9]图书馆组织气氛本土化测评量表研究[D].胡晓辉.南京农业大学2012
[10]OnBecominganEmployerofChoice:GaugingEmployeeSatisfactionThroughClimateQUAL?[J].Li,Xin,Bryan,Linda.&nbspLibraryTrends.2010
(1/2)
[11]ClimateQUALTM:organizationalclimateanddiversityassessment.KYRILLIDOUM,BAUGHMANS.College&researchlibrariesnew.2009
[12]OrganizationalclimateassessmentofmedicallibrarieswithinternationalClimateQUALTMtoolinNorthofIran.YAMINFIROOZM,NOSHINFARDF,HARIRIN.JournalofBabolUniversityofMedicalScience.2013
[13]Afterthedata:takingactiononClimateQUALresults.MENGELE,SMITHJ,UZELACE.Evidencebasedlibraryandinformationpractic.2013
[14]ClimateQUALandthinklets:usingClimateQUALwithgroupsupportsystemstofacilitatediscussionandsetprioritiesfororganizationalchangeatcrisslibrary.DEFRANKA,HILLYERN.Evidencebasedlibraryandinformationpractic.2013
[15]Strivingforexcellence:organizationalclimatematters..PHIPPSS,FRANKLINB,SHARMAS.Evidencebasedlibraryandinformationpractic.2013
[16]Apollorootcauseanalysis:anewwayofthinking.GANODL..1999
"
我国省级公共图书馆营销现状调查及分析,"[1]图书馆阅读推广营销手段探析[J].陈鹂.图书馆工作与研究.2015(01)
[2]我国公共图书馆利用微信公众平台开展服务的现状调查及创新模式研究[J].孙雨.图书馆学研究.2014(15)
[3]江苏省公共图书馆营销管理调查与分析[J].王启云,黄跃进,黎汉杰,艾华,亢丽芸,沈爱文,刘玉梅.图书情报知识.2014(04)
[4]我国高校图书馆营销现状调查及分析[J].涂志芳.图书馆学研究.2014(08)
[5]在图书馆开展微信营销的思考[J].郭春玲,郑悦.公共图书馆.2013(03)
[6]我国高校图书馆营销新方式[J].司莉,华小琴.图书馆论坛.2013(05)
[7]微电影:图书馆社会化媒体营销新模式[J].丁立华.图书馆建设.2013(04)
"
基于灰理想关联分析的数字图书馆用户界面评价,"[1]基于改进TOPSIS方法的数字图书馆用户界面综合评价[J].冯凯,李雪萍.现代情报.2006(10)
[2]浅议数字图书馆及其用户界面[J].周红.现代情报.2004(11)
[3]高校数字图书馆用户界面评价研究[D].丁娇.吉林大学2008
[4]IntroductionandOverviewtoPerspectivesonDigitalLibraries.Fox,EA,Lunin,L..1993
"
“全评价”体系在科技查新质量评价中的应用研究,"[1]开放存取期刊学术质量“全评价”体系研究——以“中国科技论文在线优秀期刊”为例[J].叶继元,陈铭.图书与情报.2013(02)
[2]全评价理论在学科馆员评价中的应用研究——以天津外国语大学图书馆学科馆员评价为例[J].范佳佳.图书馆杂志.2012(09)
[3]基于“全评价”体系的图书馆电子书评价研究[J].陈铭.图书与情报.2012(01)
[4]人文社会科学评价体系探讨[J].叶继元.南京大学学报(哲学.人文科学.社会科学版).2010(01)
"
全媒体时代高校图书馆信息服务研究,"[1]全媒体时代高校图书馆馆员的角色重建[J].赵丹.北京教育(高教).2012(12)
[2]全媒体时代图书馆服务创新与实践[J].查继红.图书馆学刊.2012(07)
[3]“全媒体”视野下图书馆服务的未来[J].张芳宁.情报资料工作.2011(04)
"
基于资源共享的特色阅览室个性化服务研究——以河海大学图书馆为例,"[1]浅谈中国国家图书馆特色阅览室的重要作用[J].王儇.科技情报开发与经济.2011(15)
[2]发挥大学生社团作用完善高校图书馆服务[J].段梅,赵晖.图书馆杂志.2010(06)
[3]高校图书馆开发特色馆藏建设的必要性及方法初探[J].邵平.图书馆工作与研究.2010(06)
[4]多元一体的图书馆信息资源布局与特色阅览室建设[J].张华平.图书馆.2010(01)
[5]浅论特色阅览室的建设——建筑学阅览室的实践与探索[J].张淑英,杨丹.图书情报工作.2006(S2)
"
多校区高校图书档案联合存储研究,"[1]图书馆低利用率文献区域合作存储研究[J].余侠.图书馆学刊.2013(08)
[2]美国高校储存图书馆及其启示[J].王莲.图书馆学研究.2013(16)
[3]图书、档案和情报一体化研究探析[J].胥宏.山东档案.2012(06)
[4]高校图书、档案一体化建设与资源共享[J].李丽君.兰台世界.2012(17)
"
学位论文全文数据库建设中的思考,
浅议高校图书馆灰色文献的开发与利用,"[1]谈高校灰色文献的情报价值及开发原则[J].阎志华.科技信息.2014(11)
[2]网上灰色文献及其获取与利用[J].张瑜.农业图书情报学刊.2012(04)
[3]图书馆灰色文献资源开发与利用[M].国家图书馆出版社,林泽明,2014
"
微信对高校图书馆的作用探析,"[1]浅谈微信在高校图书馆日常工作中的运用与对策——以福建农林大学东方学院图书馆为例[J].林团娇.河南图书馆学刊.2015(01)
[2]微信营销趋势分析[J].么志丹.经营管理者.2014(22)
[3]微信在图书馆信息服务中的应用研究[J].李雪.图书情报工作.2014(S1)
[4]微信在图书馆信息服务中的应用实践——以浙江省高校图书馆为例[J].张真,丁国峰.图书馆杂志.2014(03)
[5]浅谈网络营销的新方式——QQ营销和微信营销[J].甄璐华,王文波,张琳.科技经济市场.2014(01)
"
高校图书馆阅读推广创新实践与探讨——以河海大学图书馆为例,"[1]亚马逊网上书店用户协同信息行为及其对图书馆的启示[J].蒋一平,卢振波,陈洁.情报资料工作.2014(05)
[2]南京理工大学图书馆的阅读推广创新[J].段梅,范丽娟,赵晖.大学图书馆学报.2011(04)
[3]发挥大学生社团作用完善高校图书馆服务[J].段梅,赵晖.图书馆杂志.2010(06)
[4]当代大学生情感需求及其情感教育[J].魏萍.前沿.2007(03)
[5]经典常谈[M].上海古籍出版社,钱伯城导读,1999
"
基于馆员能力发展的图书馆学术交流机制研究——以陕西图书馆为例,"[1]基于微博客的图书馆信息交流服务模式[J].吴桂英,杜友桃.图书馆学刊.2012(03)
[2]从科研论文产出看陕西高校图书馆学术水平[J].张峰.图书情报工作网刊.2012(03)
[3]图书馆·情报与文献学国家社会科学基金项目统计与分析[J].刘良璧.情报资料工作.2010(05)
[4]国外对图书馆员能力与核心能力的研究评述[J].杨永生,初景利.国外社会科学.2008(03)
[5]高校学术团队建设的理论思考[J].赵正洲,文君,王学才,王亦达,彭红.中国高等教育.2007(05)
[6]知识贫困是一切贫困之源──知识价值论新视角[J].刘长明.文史哲.1998(04)
[7]http://xiongwei1.blshe.com/post/5983/694293
.
[8]http://xiongwei1.blshe.com/post/5983/691949
.
"
基于推送消息调查的高校图书馆微信平台运营策略研究,"[1]高校图书馆微信服务现状分析及发展对策——基于“985工程”大学图书馆的调研[J].马大艳,李学静,陈虹暻.图书馆工作与研究.2015(03)
[2]基于微信公众平台的“985”高校图书馆服务现状调查与分析[J].郭军.图书馆学研究.2015(04)
[3]图书馆的微信营销[J].原丽娜,刘华.图书情报工作.2014(S2)
[4]基于微信的高校图书馆品牌营销现状与策略研究[J].洪海娟,卢振波.现代情报.2014(12)
[5]高校图书馆微信公众平台调查分析——以“985”高校图书馆为例[J].尉鑫,苏珊珊.新世纪图书馆.2014(10)
[6]高校图书馆官方微信经营策略研究——以南京大学图书馆为例[J].史梅,翟晓娟.大学图书馆学报.2014(05)
[7]“211工程”高校图书馆微信公众平台应用问题及对策[J].吉翠芳,周志峰.图书馆学研究.2014(17)
[8]“985”高校图书馆微信服务平台使用现状调查与分析[J].陈雨雪.图书馆学研究.2014(16)
[9]“211工程”高校图书馆微信应用现状分析与对策研究[J].张骏毅,杨九龙,邓媛.图书馆学研究.2014(06)
[10]基于微信公众平台的图书馆信息服务营销[J].周秀梅,田莉.图书馆工作与研究.2014(03)
"
图书馆组织气候测评的结构模型构建,"[1]图书馆服务制度建设任务分析:基于关键事件分析法[J].李桂华,彭文凤,郭桑.中国图书馆学报.2011(04)
[2]图书馆组织气候测评应用评析——以ClimateQUALTM应用为例[J].郑德俊,张正慧.图书情报知识.2011(04)
[3]人力资源管理实践、组织支持感与员工承诺和认同——一项跨层次研究[J].王震,孙健敏.经济管理.2011(04)
[4]图书馆组织气候评价初论[J].郑德俊.中国图书馆学报.2011(02)
[5]ClimateQUALTM图书馆服务质量评价新体系[J].包平,周丽.大学图书馆学报.2010(05)
[6]图书馆发展趋势调研报告(三):资源建设和用户服务[J].初景利,吴冬曼.国家图书馆学刊.2010(03)
[7]基于领导—成员交换视角的组织公平与组织认同关系研究[J].秦志华,傅升,蒋诚潇.商业经济与管理.2010(02)
[8]基于内部营销视角的图书馆管理新策略[J].李海英,裴丽.图书馆学研究.2009(10)
[9]组织氛围视角下的企业内部服务质量测评维度及影响机理研究[J].马鹏,张威.华东经济管理.2008(11)
[10]高校图书馆员工工作满意度调查量表的编制研究[J].张利.大学图书情报学刊.2008(02)
[11]结构方程模型[M].重庆大学出版社,吴明隆,2009
[12]结构方程模型及其应用[M].教育科学出版社,侯杰泰等著,2004
[13]IgnoringCommitmentIsCostly:NewApproachesEstablishtheMissingLinkBetweenCommitmentandPerformance[J].BirgitBenkhoff.&nbspHumanRelations.1997
(6)
[14]EmpiricalSupportforBaldrigeAwardFrameworkinU.S.Hospital.Goldstein,S.M,Schweikhart,S.B.HealthCareManagementRevie.2002
[15]Employeeandcustomerperceptionsofserviceinbanks.Schneider,B.,J.JParkington,V.M.Buxton.AdministrativeScienceQuarterl.1980
[16]Employeeandcustomerperceptionsofserviceinbanks:replicationandextension.SCHNEIDERB,BOWEND.JournalofAppliedPsycholog.1985
[17]LinkingServiceClimateandCustomerPerceptionsofServiceQuality:TestofaCausalModel.SchneiderBenjamin,S.White,C.Paul.JournalofAppliedPsycholog.1998
[18]ClimateQUAL?:Organi-zationalclimateanddiversityassessment.KyrillidouM,LowryC,HangesPJ,etal.ProceedingsoftheFourteenthNationalConfer-enceoftheAssociationofCollegeandResearchLibrarie.2009
[19]Thesituationaloccurrencestheoryofjobsatisfaction.Quarstein,V.A,McAfee,R.B,Glassman.M.HumanRelation.1992
[20]Theimpactofemployeecommunicationandperceivedexternalprestigeonorganizationalidentification.Smidts,A,AdThHPruyn,CeesBMvanRiel.TheAcademyofManagementJourna.2001
[21]Nuderlingsourcesofjobsatisfaction.Friedlander,Fank.JournalofAppliedPsycholog.1963
[22]JobSatisfactionIndicatorsandTheirCorrelates.SeashoreSE,TaberTD.AmericanBehavioralScientist.1975
[10]StructuralEquationModelwithUnobservableVariablesandMeasurementError:Algebraandstatistics.FornellC,LarckerDF.JournalofMarketin.1981
"
区域高校图书馆联合体资源建设平台分析与构建,"[1]2006-2011年我国图书馆采购研究论文计量分析[J].刘华,付禄.图书馆理论与实践.2013(08)
[2]基于第三方平台的数字图书馆资源评价研究[J].曹异卿,唐俊.计算机与数字工程.2013(06)
[3]江苏省高校图书馆区域联盟资源共建共享现状及分析[J].苏坤.新世纪图书馆.2013(04)
[4]高校图书馆网上荐购系统与采访工作的无缝连接[J].陈漫红,卢小玲.图书馆论坛.2013(01)
[5]图书馆网上联合采购平台建设研究[J].刘朝晖.图书馆学研究.2012(17)
"
基于热门图书排行榜的高校图书馆读者阅读特征分析,"[1]目录明,方可读书:推荐书目、影响书目、畅销书目与读物推广[J].徐雁,谭华军.图书馆杂志.2014(04)
[2]打造“推荐图书排行榜”——高校图书馆导读的新思路[J].王喜明,祁莉.图书馆建设.2010(07)
[3]张爱玲图书热现象浅析[J].胡文娅.知识经济.2009(08)
"
关于发展南京高校图书馆自助服务的调查与思考,"[1]高校图书馆自助服务探析[J].杨馥榕.江西图书馆学刊.2012(04)
[2]关于高校图书馆读者自助服务的探讨[J].丁红.内蒙古科技与经济.2007(13)
"
微信对高校图书馆的作用探究,"[1]微信在图书馆信息服务中的应用实践——以浙江省高校图书馆为例[J].张真,丁国峰.图书馆杂志.2014(03)
[2]基于微信的图书馆移动信息服务设计与实现[J].叶海智,刘强,尹丹丹.软件导刊.2013(11)
[3]微信在图书馆信息服务中的应用探析[J].张楠,边丽梅.图书馆研究.2013(05)
[4]微信及其在图书馆的应用[J].王勇,洪斌.新世纪图书馆.2013(09)
[5]基于微信公众账号的图书馆移动信息服务研究[J].孔云,廖寅,资芸,薛秀珍,张仲华.情报杂志.2013(09)
[6]微信服务在图书馆应用的探索与实践[J].蒋琦琦.数字技术与应用.2013(07)
"
基于流通数据的高校图书馆纸质图书借阅量统计分析,"[1]网络信息化冲击下读者借阅需求研究——基于2007—2011年借阅数据的统计分析[J].刘罡昊,唐妮,王文丽.科技情报开发与经济.2012(21)
[2]纸质图书借阅率下降分析及应对策略[J].梁秀玉.内蒙古科技与经济.2011(16)
[3]高校图书馆借阅率与读者特征关系深度分析[J].刘静春.农业图书情报学刊.2011(08)
[4]高校读者阅读倾向对馆藏建设的影响[J].庄雷,汤诚.图书馆杂志.2010(01)
[5]高校图书馆的流通书库借阅状况分析及对策——以吉首大学图书馆为例[J].王灿荣.大学图书情报学刊.2009(02)
"
现代图书馆的服务理念与服务方式,"[1]近年来国内图书馆服务理念研究进展[J].刘海涛.图书馆学刊.2012(05)
[2]谈国家图书馆的服务创新[J].詹福瑞.国家图书馆学刊.2007(01)
"
高校图书馆读者阅读心理研究与提高服务质量,"[1]高校图书馆读者心理研究及服务对策[J].张世兰.高校图书馆工作.2010(04)
[2]“以人为本”与高校图书馆服务模式的转变[J].王美玲.湖州师范学院学报.2005(05)
[3]现代图书馆学理论[M].北京图书馆出版社,徐引篪,1999
"
后数字图书馆时代的虚拟知识社区架构,"[1]图书馆2.0网络知识社区构建[J].王利萍,成全,刘勇.情报杂志.2007(12)
[2]知识社区——后数字图书馆时代的信息空间[J].秦鸿.现代情报.2007(03)
[3]从Web2.0映射到图书馆2.0[J].姜晓曦.图书馆学刊.2006(06)
[4]图书馆2.0带来图书馆理念和服务的深化[J].贾延霞.数字图书馆论坛.2006(09)
[5]数字图书馆的未来——后数字图书馆时代[J].张文秀,朱庆华,黄奇.现代图书情报技术.2006(05)
[6]数字图书馆知识社区构建研究[D].王旸.华中师范大学2012
"
科技查新中查新点确定的案例分析,"[1]关于科技查新中查新点的确定[J].张爽.科技创新导报.2012(07)
[2]科技查新中查新点提炼的实证分析[J].张群.现代情报.2010(09)
[3]论科技查新在科技发展项目成果鉴定阶段的功能[J].周洪光,王丰尧.图书馆学刊.2008(05)
[4]查新工作中应该注意的几点问题[J].彭玲玲.图书馆建设.2007(06)
[5]科技查新中查新点的分析与提炼[J].闫裴,刘亚茹.图书馆工作与研究.2006(02)
[6]科技查新手册[M].科学技术文献出版社,谢新洲,滕跃主编,2004
"
基于H指数的优势学科测量与评估,"[1]一种新的科学计量指标——h指数及其应用述评[J].赵基明,邱均平,黄凯,刘兵红.中国科学基金.2008(01)
[2]大学优势学科、特色学科建设的原则及途径探讨[J].娄玉珍,赵鹏大,徐士元.中国地质教育.2006(02)
"
移动服务在高校图书馆的应用调查与思考,"[1]面向Y一代的大学图书馆用户服务[J].柯平,陈雅茜.大学图书馆学报.2011(04)
[2]通过为行业服务拓展高校图书馆的生存空间——以浙江水利科技信息资源服务系统实践为例[J].金玲娟,张义军.科技情报开发与经济.2010(26)
[3]移动的书海:国内移动图书馆现状及发展趋势[J].宋恩梅,袁琳.中国图书馆学报.2010(05)
[4]MorganStanleyReleasesTheMobileInternetReport.http://www.morganstanley.com/about/press/articles/4659e2f54659e2f5-ea51-11de-aec2-33992aa82cc2.htm.2012
"
高校BBS讨论区内信息有序化研究及管理启示——以南京大学小百合网站为例,"[1]高校BBS网络建设的实践探索[J].蒋广学.高校理论战线.2012(05)
[2]基于内容分析的中文BBS话题检测系统的设计与实现[J].赵艳红,聂哲.计算机应用与软件.2011(06)
[3]基于群体智能算法的BBS空间集体观点形成模型研究[J].杨勇,王长辉,丁雪峰,胡勇.四川大学学报(工程科学版).2011(01)
[4]基于CAS理论的维基百科序化机制研究[J].马费成,夏永红.图书馆论坛.2008(06)
[5]自组织理论框架下的Web2.0信息有序化研究[J].黄佳.图书情报知识.2008(03)
[6]CAS理论视角下Web2.0序化研究[J].陈金霞.图书情报知识.2008(03)
[7]高校BBS社群结构与信息传播的影响因素[J].宫辉,徐渝.西安交通大学学报(社会科学版).2007(01)
[8]TheConsequencesofModernity.AnthoryGiddens..1990
[9]Issuesandconceptsinresearchoncomputer-mediatedcommunicationsystem.RiceRE.CommunicationYearboo.1989
[10]TemporalanalysisoftheWikigraph.BuriolL,,CastilloC,DonatoD,etal.Proceedingsofthe2006IEEE/WIC/ACMInternationalConferenceonWebIntelligenc.2006
[11]OntheevolutionofWikipedia.AlmeidaRB,MozafariB,ChoJ.ProceedingsoftheInternationalConferenceonWeblogsandSocialMedi.2007
[12]Wikipedianself-governanceinaction:Motivatingthepolicylens.BeschastnikhI,KripleanT,McDonaldD.ProceedingsofInternationalConferenceonWeblogsandSocialMedi.2008
"
地方行业特色高校图书馆电子资源配置策略研究——以西安科技大学为例,"[1]基于共建共享的高校图书馆信息资源配置策略[J].钟翠娇.图书馆学研究.2010(21)
[2]地方行业特色型高校的困境与出路[J].李轶芳.中国高等教育.2010(09)
[3]从学科建设角度优化馆藏文献信息资源配置研究——以天津科技大学为例[J].李凌杰.图书馆工作与研究.2009(06)
"
多校区图书馆有效信息服务模式研究,"[1]多校区办馆的资源有效布局及动态管理模式探讨[J].邱学军,赵玉宏,田忠政.高校图书馆工作.2008(01)
[2]多校区大学图书馆信息资源优化配置模式的构建[J].石继平.图书馆论坛.2007(01)
[3]论网络环境下多校区高校图书馆的信息服务创新[J].李志俊,陈海龙.西北工业大学学报(社会科学版).2005(04)
"
期刊数据库维护工作的实践探讨,"[1]图书馆期刊数据库维护探讨[J].赵晓岚,王晓丹,张招杰.现代情报.2008(09)
[2]质量控制——期刊回溯建库的关键[J].陈燕珠.图书馆学研究.2004(11)
"
论高校学生信息素养能力的培养,"[1]高校图书馆加强大学生信息素质教育创新探讨[J].郭启松,张永军,宋蓓玲.情报杂志.2008(01)
[2]论大学生的信息素质教育[J].杨明秀,刘秋林.图书馆.2006(01)
"
论高校图书馆学术团队建设,"[1]图书馆科研创新团队知识转移的实现路径[J].田燕.河南图书馆学刊.2012(01)
[2]对图书馆开展科研工作的八点建议[J].陈志宏,战罗婷.图书馆学研究.2002(05)
"
科技查新工作中隐性知识发现与挖掘过程研究,"[1]科技查新机构隐性知识管理浅析[J].李津.情报杂志.2009(S2)
[2]隐性知识在图书馆中的表现[J].彭莲好.江西图书馆学刊.2009(03)
[3]高校图书馆隐性知识显性化障碍分析与挖掘研究[J].任兴洲.情报探索.2009(02)
[4]图书馆隐性知识共享模式探讨[J].范翠玲,庞力.情报理论与实践.2007(02)
[5]科技查新工作创新发展的问题与对策[J].王文平,程冰,黄达.现代情报.2006(09)
"
图书馆组织气候测评的本土化量表开发,"[1]图书馆组织气候评价初论[J].郑德俊.中国图书馆学报.2011(02)
[2]中国企业管理文化研究[D].林峰.首都经济贸易大学2008
[3]国有企事业单位气氛与员工行为关系及其影响因素研究[D].盖乃诚.华东师范大学2005
[4]广东地区企业组织气氛因素结构及其与绩效关系研究[D].朱瑜.暨南大学2004
[5]质的研究方法与社会科学研究[M].教育科学出版社,陈向明著,2000
[6]Apassionofservice:Usingcontentanalysistoexplicateserviceclimatethemes.Schneider,B.,Wheeler,J.K.,Cox,J.F.JournalofAppliedPsycholog.1992
[7]Employeesascustomersjudgingquality:enhancingemployeeassessment.HarerJB.NewLi-braryWorl.2008
[8]ClimateQUALTM:OrganizationalClimateandDiversityAssessment.KyrillidouM.ACRLFourteenthNationalConferenc.2009
[9]Motivationandorganizationalclimate.LitwinG,StringerR..1968
"
基于和谐管理理论的图书馆危机管理研究,"[1]基于和谐管理理论的高校图书馆危机管理[J].曾文仙.农业网络信息.2011(06)
[2]高校图书馆危机管理的类型、特点及对策研究[J].郭太敏,范亚芳,张秀芳.新世纪图书馆.2008(05)
[3]浅谈高校图书馆的危机管理[J].李碧岩.情报探索.2007(09)
[4]试论现代学校图书馆的危机管理[J].宋苏荣.教学与管理.2006(06)
[5]试论我国的图书馆危机与危机管理[J].庞恩旭.四川图书馆学报.2005(01)
[6]我国公共图书馆危机管理机制研究[D].彭絮.东北师范大学2008
"
多载体文献信息资源的分编管理探讨,"[1]多载体文献资源的编目与管理[J].王任挥.内蒙古水利.2010(06)
[2]多载体资源的编目、加工和管理[J].刘峥.图书馆建设.2010(06)
[3]多载体音像资料CNMARC格式著录探讨[J].曾爱娥,乔南.江西图书馆学刊.2010(01)
"
多校区图书典藏资源建设探析,
流媒体信息服务在南京部分高校图书馆应用调查分析,"[1]流媒体技术及其在图书馆中的应用[J].田阳.图书馆.2008(01)
[2]信息文化环境下图书馆信息服务模式发展研究[D].黄付艳.湘潭大学2008
"
数字化时代城市居民的阅读调查分析——以南京市六城区为例,"[1]2000年以来我国推荐书目研究述评[J].肖蔚.高校图书馆工作.2009(03)
[2]公共图书馆在社会阅读中的功能重塑[J].吕虹.贵州教育学院学报.2007(05)
[3]社会阅读：拓展图书馆生长空间[J].肖蕾.贵州工业大学学报(社会科学版).2007(04)
[4]阅读与人生——在南京市民学堂的报告[J].徐雁.新世纪图书馆.2007(03)
[5]浅议社会阅读的几个问题[J].王余光,李雅.新世纪图书馆.2007(03)
[6]推进我国全民阅读的策略探讨[J].唐定海.新世纪图书馆.2007(03)
[7]图书馆倡导大众阅读的新思考[J].朱志伟.河南图书馆学刊.2007(02)
[8]芝加哥学派的阅读研究[J].范凡.高校图书馆工作.2007(02)
[9]网络时代的大众阅读——“网络阅读”研究综述[J].曾克宇.高校图书馆工作.2007(02)
[10]中国阅读史研究纲要[J].王余光.高校图书馆工作.2007(02)
[11]图书馆之恋[M].华东师范大学出版社,(法)古勒莫,2007
"
基于社会网络理论的高校图书馆数字资源联合服务战略及其实践,"[1]网络时代的大众阅读——“网络阅读”研究综述[J].曾克宇.高校图书馆工作.2007(02)
[2]社会网络中的知识传递[J].陶海青,薛澜.经济管理.2004(06)
[3]研究型大学本科教学特点及比较研究[J].李华,蒋华林,杨忠.重庆大学学报(社会科学版).2002(02)
[4]本科教学资源信息管理与服务系统[M].河海大学出版社,吴胜兴,高新陵主编,2006
[5]Entrepreneurshipthroughsocialnetworks.AldrichHE,ZimmerER.TheArtandScienceofEntrepreneurshi.1986
[6]StructuralHoles:TheSocialStructureofCompetition.BurtRS..1992
[7]TheStrengthofWeakTies.GranovetterMarkS.TheAmericanJournalofSociolog.1973
[8]BowlingTogether.PutnamR.TheAmericanProspec.2002
"
生命不会终止——图书馆存在下去的N个理由,"[1]图书馆员去职业化问题、原因及对策研究[J].陈传夫,王云娣,盛钊,丁宁.中国图书馆学报.2011(01)
[2]生存无从强制[J].F.W.兰开斯特,王兴,邹永利.中国图书馆学报.2011(01)
[3]社会包容:现代公共图书馆的使命[J].蒋永福.中国图书馆学报.2009(06)
[4]图书馆核心价值的探索和意义[J].黄晓曼.图书与情报.2007(03)
[5]图书馆业态的变化与发展趋势[J].陈传夫,吴钢.中国图书馆学报.2007(03)
[6]图书馆及信息服务机构服务过程的抽象解构[J].韩松涛.图书馆杂志.2006(09)
[7]未来的图书馆[J].刘炜.数字图书馆论坛.2009
(09)
[8]图书馆学是什么[M].北京大学出版社,王子舟,2008
[9]图书馆学基础[M].高等教育出版社,吴慰慈主编,2004
[10]AcademicLibraryAutopsyReport,2050[OL].Brian.T.Sullivan.http://chronicle.com/article/Academic-Library-Autopsy/125767/
.2011
[11]Thefoundationsofeducationforlibrarian-ship.SHERAJH..1972
"
